battery_id,cycle,voltage,current,temperature,capacity,time,failure,ambient_temperature,soc,soh,internal_resistance
B0005,2,3.5298286688693397,-1.8187019641679727,32.572328114029,1.8564874208181574,3690.234,0,24,0.44152389072444964,92.82437104090788,0.7824643047816772
B0005,4,3.5373201277859714,-1.8175598506612867,32.72523522519307,1.846327249719927,3672.344,0,24,0.4477667731549761,92.31636248599635,0.7945994454223418
B0005,6,3.5437367282719,-1.8164865418840956,32.64286193755933,1.8353491942234077,3651.641,0,24,0.45311394022658336,91.76745971117039,0.7618217566770713
B0005,8,3.5436661072601456,-1.8255891938692528,32.51487646204882,1.8352625275821128,3631.563,0,24,0.4530550893834546,91.76312637910564,0.7914503178569887
B0005,10,3.5423432526672167,-1.8261139590277586,32.38234901543077,1.8346455082120419,3629.172,0,24,0.4519527105560139,91.7322754106021,0.8133528644564342
B0005,12,3.5413347346347575,-1.8168108743168803,32.43418218230641,1.8356616600675495,3652.281,0,24,0.4511122788622978,91.78308300337747,0.8272190268405133
B0005,14,3.5410250495075215,-1.816791144707133,32.480416444757985,1.8351461429226603,3650.828,0,24,0.4508542079229345,91.75730714613302,0.8435541180461925
B0005,16,3.554133296801584,-1.8443412120754061,32.41046186109587,1.8257567905665537,3572.453,0,24,0.4617777473346532,91.28783952832768,0.755575276406453
B0005,18,3.5529355991467955,-1.853972745505648,32.3461408313,1.8247738529891333,3550.594,0,24,0.46077966595566283,91.23869264945667,0.7853767183237574
B0005,20,3.5512057319376997,-1.8535899338510957,32.27679750791685,1.824613268496936,3551.25,0,24,0.45933810994808305,91.2306634248468,0.8116622689220424
B0005,22,3.549292319740949,-1.863380178294828,32.15709350345252,1.8246195526864504,3530.25,0,24,0.4577435997841242,91.23097763432251,0.8513923493427963
B0005,25,3.559759220648976,-1.872968810287894,32.36407129853099,1.8142019357673917,3491.016,0,24,0.46646601720748,90.71009678836958,0.7637209954163298
B0005,27,3.558081969139198,-1.8826095043160833,32.3181954403762,1.8137521577549054,3470.281,0,24,0.4650683076159981,90.68760788774527,0.8018218116144811
